Zip_Code,Median
04330,41989.0
04345,45260.0
04346,46976.0
04347,59106.0
04352,52614.0
04353,57262.0
04357,300000.0
04359,53161.0
04401,36896.0
04412,42702.0
04416,58688.0
04421,42793.0
04426,41300.0
04429,57482.5
04430,35405.0
04434,52664.0
04441,31083.0
04443,37462.0
04448,38607.0
04455,35679.0
04456,52825.0
04468,21208.0
04474,63476.0
04530,45930.0
04538,46168.0
04555,47698.0
04558,51901.0
04568,53313.0
04572,18824.0
04578,25751.0
04579,60124.0
04605,41544.0
04609,37226.0
04614,56633.0
04643,42878.0
04649,40472.0
04664,37924.0
04691,38190.0
04694,44608.0
04730,26779.0
04732,38934.0
04736,18043.0
04742,22746.0
04747,38573.0
04769,31989.5
04772,42881.0
04777,36392.0
04785,30510.0
04841,48309.0
04843,33480.0
04860,61881.5
04864,29942.0
04901,55847.5
04915,46992.0
04930,36865.0
04945,300000.0
04955,42226.0
04957,53039.5
04958,38020.0
04967,41539.0
04973,37552.0
04976,30077.0
04983,53820.0
04988,31015.0
04989,48709.0
05001,35510.0
05030,39030.0
05048,61748.0
05059,187382.5
05060,51185.0
05068,24086.0
05077,50526.0
05081,36526.0
05089,300000.0
05101,300000.0
05143,22821.0
05156,63356.0
05158,53606.0
05201,43994.5
05251,80572.0
05301,52686.0
05341,46704.0
05343,43871.0
05344,72257.0
05401,40092.5
05403,0.0
05443,48136.0
05446,174819.5
05452,56778.0
05455,64470.0
05457,65201.0
05461,49532.0
05465,300000.0
05468,300000.0
05477,69973.0
05478,40325.0
05482,192116.5
05486,63655.0
05487,85778.0
05488,55356.0
05490,86664.0
05491,82938.0
05602,59861.0
05641,55645.0
05651,300000.0
05656,32897.0
05661,38389.0
05669,56619.5
05673,300000.0
05675,58845.0
05676,74579.0
05680,57009.0
05681,58127.0
05701,53099.0
05733,172598.0
05743,42330.0
05753,55313.0
05757,53926.0
05758,51990.0
05777,46061.5
05819,44254.0
05821,64654.0
05822,50952.0
05851,41594.0
05859,51557.5
05872,34694.0
06001,300000.0
06002,74241.0
06010,87189.0
06013,204101.0
06029,188876.0
06032,91628.5
06033,300000.0
06035,300000.0
06037,189212.0
06039,300000.0
06040,66944.0
06051,23210.0
06053,54060.0
06062,300000.0
06066,72899.0
06070,139057.0
06071,300000.0
06074,78158.0
